date,calories_burned,steps,distance,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity_calories
2017-10-04,2639,20865,9.41,641,164,35,115,1553
2017-10-05,2814,23538,11.17,599,168,42,108,1736
2017-10-06,2127,12444,5.19,652,149,24,67,976
2017-10-07,1926,7797,3.25,527,187,19,29,773
2017-10-08,3464,34275,16.67,678,183,19,176,2441
2017-10-09,1945,8877,3.7,727,151,23,32,755
2017-10-10,2075,11651,4.86,631,129,35,61,911
2017-10-11,2563,19955,8.87,716,175,27,104,1471
2017-10-12,2707,22056,10.47,632,138,43,107,1608
2017-10-13,1962,9294,3.88,655,164,19,30,784
2017-10-14,4087,44391,22.7,568,131,41,253,3121
2017-10-15,2444,18287,7.62,539,198,18,112,1384
2017-10-16,1977,9383,3.91,716,169,26,30,811
2017-10-17,2079,11853,4.94,632,163,31,39,925
2017-10-18,2333,15846,7.25,742,155,12,62,1171
2017-10-19,2657,21079,9.89,706,169,39,96,1567
2017-10-20,2063,11119,4.64,521,182,29,39,928
2017-10-21,3391,32485,16.48,585,146,32,175,2353
2017-10-22,2204,13222,5.51,590,248,15,34,1110
2017-10-23,1957,9621,4.01,648,151,33,26,785
2017-10-24,2085,11726,4.89,650,151,27,59,935
2017-10-25,2109,12391,5.7,812,127,9,50,930
2017-10-26,2737,22212,10.49,616,193,25,100,1666
2017-10-27,1920,8818,3.68,629,165,11,22,736
2017-10-28,2802,23009,11.34,630,145,15,126,1700
2017-10-29,2081,10172,4.24,582,275,17,23,1009
2017-10-30,1970,9918,4.14,658,151,22,35,801
2017-10-31,2330,15415,7.08,691,149,32,75,1193
2017-11-01,1885,8130,3.39,696,151,13,22,687
2017-11-02,2492,18638,8.33,639,187,32,83,1400
2017-11-03,2066,10769,4.49,622,228,11,22,938
2017-11-04,1860,6561,3.11,611,158,3,24,667
2017-11-05,5134,60681,31.08,519,165,26,348,4217
2017-11-06,1943,9240,3.85,760,146,17,39,762
2017-11-07,2123,12583,5.25,752,174,23,43,975
2017-11-08,2324,16342,7.14,667,152,25,83,1201
2017-11-09,2311,14637,6.1,673,299,16,48,1281
2017-11-10,2194,13061,5.45,772,219,18,49,1076
2017-11-11,2084,11142,4.65,667,232,13,18,951
2017-11-12,2037,10971,4.57,768,213,5,9,875
2017-11-13,1823,6442,2.69,669,172,5,8,620
2017-11-14,1931,7885,3.29,785,227,6,2,768
2017-11-15,2301,14111,5.88,690,287,29,33,1241
2017-11-16,1791,6164,2.57,782,172,0,0,575
2017-11-17,1932,7910,3.3,701,233,12,1,785
2017-11-18,2009,9882,4.12,766,195,20,24,855
2017-11-19,2247,13197,6.15,582,204,9,43,1115
2017-11-20,1968,9600,4,681,172,12,20,786
2017-11-21,1935,9013,3.76,726,149,15,25,734
2017-11-22,1880,7366,3.07,700,183,9,8,669
2017-11-23,2123,10509,5.02,734,174,8,48,958
2017-11-24,1716,4916,2.05,738,147,0,0,485
2017-11-25,1953,8239,3.44,609,224,5,10,805
2017-11-26,1609,2655,1.11,568,139,0,0,376
2017-11-27,1982,9825,4.1,642,144,36,37,817
2017-11-28,1863,7656,3.19,706,143,11,24,653
2017-11-29,2418,16788,7.54,624,212,15,62,1315
2017-11-30,2286,14306,6,607,233,24,56,1201
2017-12-01,2031,10417,4.34,781,166,10,39,846
2017-12-02,1538,2018,0.84,724,75,0,0,232
2017-12-03,2087,11491,4.79,629,150,16,59,920
2017-12-04,1991,9810,4.09,698,169,15,30,809
2017-12-05,1938,8490,3.54,630,188,7,12,751
