date,calories_burned,steps,distance,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity calories,sleep_start_time,sleep_end_time,minutes_asleep,minutes_awake,number_of_awakenings,time_in_bed
2017-10-04,2639,20865,9.41,641,164,35,115,1553,2017-10-04 9:54 PM,2017-10-05 6:48 AM,490,44,1,534
2017-10-05,2814,23538,11.17,599,168,42,108,1736,2017-10-05 10:04 PM,2017-10-06 6:31 AM,481,23,2,506
2017-10-06,2127,12444,5.19,652,149,24,67,976,2017-10-06 9:23 PM,2017-10-07 8:05 AM,606,33,2,642
2017-10-07,1926,7797,3.25,527,187,19,29,773,2017-10-07 8:47 PM,2017-10-08 5:06 AM,462,37,2,499
2017-10-08,3464,34275,16.67,678,183,19,176,2441,2017-10-08 10:42 PM,2017-10-09 6:34 AM,428,44,2,472
2017-10-09,1945,8877,3.7,727,151,23,32,755,2017-10-09 10:06 PM,2017-10-10 7:11 AM,511,31,2,545
2017-10-10,2075,11651,4.86,631,129,35,61,911,2017-10-10 9:26 PM,2017-10-11 5:52 AM,475,31,1,506
2017-10-11,2563,19955,8.87,716,175,27,104,1471,2017-10-11 10:53 PM,2017-10-12 7:26 AM,475,26,2,512
2017-10-12,2707,22056,10.47,632,138,43,107,1608,2017-10-12 10:46 PM,2017-10-13 7:24 AM,491,27,2,518
2017-10-13,1962,9294,3.88,655,164,19,30,784,2017-10-13 9:51 PM,2017-10-14 5:57 AM,464,18,2,486
2017-10-14,4087,44391,22.7,568,131,41,253,3121,2017-10-14 10:30 PM,2017-10-15 7:57 AM,527,40,1,567
2017-10-15,2444,18287,7.62,539,198,18,112,1384,2017-10-15 10:24 PM,2017-10-16 7:23 AM,508,30,2,539
2017-10-16,1977,9383,3.91,716,169,26,30,811,2017-10-16 11:04 PM,2017-10-17 7:07 AM,460,23,3,483
2017-10-17,2079,11853,4.94,632,163,31,39,925,2017-10-17 9:32 PM,2017-10-18 5:59 AM,487,19,2,507
2017-10-18,2333,15846,7.25,742,155,12,62,1171,2017-10-18 10:10 PM,2017-10-19 6:20 AM,468,21,1,490
2017-10-19,2657,21079,9.89,706,169,39,96,1567,2017-10-19 11:10 PM,2017-10-20 7:29 AM,480,15,3,499
2017-10-20,2063,11119,4.64,521,182,29,39,928,2017-10-20 8:20 PM,2017-10-21 5:55 AM,545,30,2,575
2017-10-21,3391,32485,16.48,585,146,32,175,2353,2017-10-21 9:33 PM,2017-10-22 7:16 AM,556,25,1,583
