Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-02-01","2,222","13,463","5.61","0","693","217","38","49","1,124"
"2018-02-02","1,949","8,745","3.65","0","675","184","12","14","764"
"2018-02-03","2,838","21,990","10.88","0","536","244","8","105","1,796"
"2018-02-04","1,574","2,359","0.98","0","760","104","9","0","311"
"2018-02-05","2,058","11,434","4.8","0","638","139","34","47","889"
"2018-02-06","2,308","15,347","7.18","0","650","124","21","73","1,139"
"2018-02-07","1,941","8,816","3.69","0","649","159","21","29","759"
"2018-02-08","2,183","13,639","5.84","0","734","142","23","64","1,020"
"2018-02-09","2,125","12,389","5.17","0","637","185","27","42","993"
"2018-02-10","2,656","20,230","9.97","0","676","170","10","91","1,540"
"2018-02-11","1,870","5,322","2.22","0","545","276","0","0","751"
"2018-02-12","2,020","10,398","4.37","0","658","160","37","27","852"
"2018-02-13","1,877","7,697","3.24","0","736","153","13","20","677"
"2018-02-14","2,215","13,258","6.28","0","672","155","9","52","1,041"
"2018-02-15","2,008","10,325","4.3","0","716","138","21","51","827"
"2018-02-16","1,924","9,039","3.78","0","725","155","26","17","735"
"2018-02-17","1,969","8,704","3.63","0","568","200","9","31","828"
"2018-02-18","2,198","14,121","5.89","0","679","120","16","94","1,038"
"2018-02-19","1,976","10,612","4.42","0","630","67","23","72","755"
"2018-02-20","1,990","9,643","4.02","0","667","170","30","20","823"
"2018-02-21","2,353","15,894","7.42","0","693","160","21","61","1,204"
"2018-02-22","1,915","8,900","3.71","0","689","138","11","24","697"
"2018-02-23","1,873","8,271","3.45","0","752","105","28","36","661"
"2018-02-24","2,896","24,429","11.71","0","594","206","19","116","1,847"
"2018-02-25","2,014","9,352","3.94","0","556","218","18","24","890"
"2018-02-26","1,889","8,419","3.51","0","812","147","10","16","672"
"2018-02-27","1,980","9,080","3.79","0","707","183","28","25","821"
"2018-02-28","1,771","5,530","2.31","0","788","179","0","0","562"

