Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-01-01","1,643","3,131","1.31","0","766","136","0","0","395"
"2018-01-02","1,993","9,868","4.14","0","746","155","16","33","799"
"2018-01-03","2,410","16,335","7.64","0","651","203","10","54","1,287"
"2018-01-04","2,113","11,873","4.95","0","662","161","30","54","963"
"2018-01-05","1,989","9,826","4.1","0","745","164","14","32","805"
"2018-01-06","1,895","6,254","2.61","0","593","281","0","0","790"
"2018-01-07","2,699","21,286","10.13","0","502","153","29","122","1,615"
"2018-01-08","2,068","11,002","4.6","0","672","182","29","30","913"
"2018-01-09","1,975","9,618","4.01","0","712","173","17","16","786"
"2018-01-10","2,013","9,891","4.12","0","735","189","21","25","851"
"2018-01-11","2,166","12,953","5.43","0","681","169","32","61","1,032"
"2018-01-12","1,945","8,719","3.64","0","911","161","18","27","750"
"2018-01-13","2,167","11,223","5.07","0","634","238","17","34","1,059"
"2018-01-14","3,690","36,640","18.07","0","492","280","18","189","2,767"
"2018-01-15","2,068","10,601","4.42","0","718","198","33","30","926"
"2018-01-16","1,877","6,830","2.85","0","611","209","3","7","700"
"2018-01-17","1,833","5,809","2.42","0","701","219","8","0","668"
"2018-01-18","1,951","9,250","3.86","0","803","130","12","43","744"
"2018-01-19","2,031","10,465","4.39","0","710","184","12","27","865"
"2018-01-20","2,217","12,024","5.4","0","449","257","16","43","1,145"
"2018-01-21","3,537","34,121","17.22","0","573","190","12","188","2,528"
"2018-01-22","1,883","8,043","3.35","0","722","134","20","26","674"
"2018-01-23","1,955","9,693","4.04","0","690","109","33","46","752"
"2018-01-24","1,849","7,167","2.99","0","731","162","8","8","634"
"2018-01-25","2,186","13,523","5.7","0","701","157","30","62","1,045"
"2018-01-26","2,089","12,154","5.08","0","662","139","29","47","915"
"2018-01-27","2,911","24,672","11.81","0","709","193","20","125","1,850"
"2018-01-28","1,742","4,965","2.07","0","621","140","4","21","528"
"2018-01-29","1,966","9,576","3.99","0","743","150","23","28","777"
"2018-01-30","1,828","7,123","2.97","0","731","144","7","16","612"
"2018-01-31","2,372","16,217","7.47","0","639","158","24","70","1,231"

