Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-11-01","1,885","8,130","3.39","0","696","151","13","22","687"
"2017-11-02","2,492","18,638","8.33","0","639","187","32","83","1,400"
"2017-11-03","2,066","10,769","4.49","0","622","228","11","22","938"
"2017-11-04","1,860","6,561","3.11","0","611","158","3","24","667"
"2017-11-05","5,134","60,681","31.08","0","519","165","26","348","4,217"
"2017-11-06","1,943","9,240","3.85","0","760","146","17","39","762"
"2017-11-07","2,123","12,583","5.25","0","752","174","23","43","975"
"2017-11-08","2,324","16,342","7.14","0","667","152","25","83","1,201"
"2017-11-09","2,311","14,637","6.1","0","673","299","16","48","1,281"
"2017-11-10","2,194","13,061","5.45","0","772","219","18","49","1,076"
"2017-11-11","2,084","11,142","4.65","0","667","232","13","18","951"
"2017-11-12","2,037","10,971","4.57","0","768","213","5","9","875"
"2017-11-13","1,823","6,442","2.69","0","669","172","5","8","620"
"2017-11-14","1,931","7,885","3.29","0","785","227","6","2","768"
"2017-11-15","2,301","14,111","5.88","0","690","287","29","33","1,241"
"2017-11-16","1,791","6,164","2.57","0","782","172","0","0","575"
"2017-11-17","1,932","7,910","3.3","0","701","233","12","1","785"
"2017-11-18","2,009","9,882","4.12","0","766","195","20","24","855"
"2017-11-19","2,247","13,197","6.15","0","582","204","9","43","1,115"
"2017-11-20","1,968","9,600","4","0","681","172","12","20","786"
"2017-11-21","1,935","9,013","3.76","0","726","149","15","25","734"
"2017-11-22","1,880","7,366","3.07","0","700","183","9","8","669"
"2017-11-23","2,123","10,509","5.02","0","734","174","8","48","958"
"2017-11-24","1,716","4,916","2.05","0","738","147","0","0","485"
"2017-11-25","1,953","8,239","3.44","0","609","224","5","10","805"
"2017-11-26","1,609","2,655","1.11","0","568","139","0","0","376"
"2017-11-27","1,982","9,825","4.1","0","642","144","36","37","817"
"2017-11-28","1,863","7,656","3.19","0","706","143","11","24","653"
"2017-11-29","2,418","16,788","7.54","0","624","212","15","62","1,315"
"2017-11-30","2,286","14,306","6","0","607","233","24","56","1,201"

