Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-10-04","2,639","20,865","9.41","0","641","164","35","115","1,553"
"2017-10-05","2,814","23,538","11.17","0","599","168","42","108","1,736"
"2017-10-06","2,127","12,444","5.19","0","652","149","24","67","976"
"2017-10-07","1,926","7,797","3.25","0","527","187","19","29","773"
"2017-10-08","3,464","34,275","16.67","0","678","183","19","176","2,441"
"2017-10-09","1,945","8,877","3.7","0","727","151","23","32","755"
"2017-10-10","2,075","11,651","4.86","0","631","129","35","61","911"
"2017-10-11","2,563","19,955","8.87","0","716","175","27","104","1,471"
"2017-10-12","2,707","22,056","10.47","0","632","138","43","107","1,608"
"2017-10-13","1,962","9,294","3.88","0","655","164","19","30","784"
"2017-10-14","4,087","44,391","22.7","0","568","131","41","253","3,121"
"2017-10-15","2,444","18,287","7.62","0","539","198","18","112","1,384"
"2017-10-16","1,977","9,383","3.91","0","716","169","26","30","811"
"2017-10-17","2,079","11,853","4.94","0","632","163","31","39","925"
"2017-10-18","2,333","15,846","7.25","0","742","155","12","62","1,171"
"2017-10-19","2,657","21,079","9.89","0","706","169","39","96","1,567"
"2017-10-20","2,063","11,119","4.64","0","521","182","29","39","928"
"2017-10-21","3,391","32,485","16.48","0","585","146","32","175","2,353"
"2017-10-22","2,204","13,222","5.51","0","590","248","15","34","1,110"
"2017-10-23","1,957","9,621","4.01","0","648","151","33","26","785"
"2017-10-24","2,085","11,726","4.89","0","650","151","27","59","935"
"2017-10-25","2,109","12,391","5.7","0","812","127","9","50","930"
"2017-10-26","2,737","22,212","10.49","0","616","193","25","100","1,666"
"2017-10-27","1,920","8,818","3.68","0","629","165","11","22","736"
"2017-10-28","2,802","23,009","11.34","0","630","145","15","126","1,700"
"2017-10-29","2,081","10,172","4.24","0","582","275","17","23","1,009"
"2017-10-30","1,970","9,918","4.14","0","658","151","22","35","801"
"2017-10-31","2,330","15,415","7.08","0","691","149","32","75","1,193"

