Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2018-02-28 11:14PM","2018-03-01 5:53AM","360","39","2","399","N/A","N/A","N/A"
"2018-02-27 10:20PM","2018-02-28 7:08AM","488","40","1","528","N/A","N/A","N/A"
"2018-02-26 10:42PM","2018-02-27 6:38AM","437","33","3","475","N/A","N/A","N/A"
"2018-02-25 9:45PM","2018-02-26 6:18AM","495","18","1","513","N/A","N/A","N/A"
"2018-02-24 10:14PM","2018-02-25 8:09AM","555","39","1","594","N/A","N/A","N/A"
"2018-02-23 9:39PM","2018-02-24 6:40AM","511","30","1","541","N/A","N/A","N/A"
"2018-02-22 9:47PM","2018-02-23 6:19AM","483","27","3","512","N/A","N/A","N/A"
"2018-02-21 10:19PM","2018-02-22 7:25AM","518","20","1","546","N/A","N/A","N/A"
"2018-02-20 9:29PM","2018-02-21 6:44AM","498","57","3","555","N/A","N/A","N/A"
"2018-02-19 10:11PM","2018-02-20 6:43AM","483","23","3","512","N/A","N/A","N/A"
"2018-02-18 10:30PM","2018-02-19 9:00AM","591","39","3","630","N/A","N/A","N/A"
"2018-02-17 9:35PM","2018-02-18 7:21AM","543","43","4","586","N/A","N/A","N/A"
"2018-02-16 10:43PM","2018-02-17 8:07AM","530","33","2","564","N/A","N/A","N/A"
"2018-02-15 10:37PM","2018-02-16 7:20AM","499","24","2","523","N/A","N/A","N/A"
"2018-02-14 9:57PM","2018-02-15 7:11AM","542","12","1","554","N/A","N/A","N/A"
"2018-02-13 10:39PM","2018-02-14 7:09AM","500","10","1","510","N/A","N/A","N/A"
"2018-02-12 9:42PM","2018-02-13 7:18AM","557","19","2","576","N/A","N/A","N/A"
"2018-02-11 9:30PM","2018-02-12 7:00AM","547","23","1","570","N/A","N/A","N/A"
"2018-02-10 10:40PM","2018-02-11 7:50AM","527","23","1","550","N/A","N/A","N/A"
"2018-02-09 10:12PM","2018-02-10 6:54AM","489","33","3","522","N/A","N/A","N/A"
"2018-02-08 11:06PM","2018-02-09 7:22AM","475","17","1","496","N/A","N/A","N/A"
"2018-02-07 9:35PM","2018-02-08 7:03AM","544","15","1","568","N/A","N/A","N/A"
"2018-02-06 9:41PM","2018-02-07 7:18AM","531","43","1","577","N/A","N/A","N/A"
"2018-02-05 9:52PM","2018-02-06 7:14AM","543","19","2","562","N/A","N/A","N/A"
"2018-02-04 10:38PM","2018-02-05 7:34AM","509","24","1","536","N/A","N/A","N/A"
"2018-02-03 9:03PM","2018-02-04 8:05AM","632","30","6","662","N/A","N/A","N/A"
"2018-02-02 9:51PM","2018-02-03 6:11AM","483","16","0","500","N/A","N/A","N/A"
"2018-02-01 10:44PM","2018-02-02 7:06AM","485","17","1","502","N/A","N/A","N/A"

