Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2017-11-30 9:17PM","2017-12-01 7:24AM","575","31","2","606","N/A","N/A","N/A"
"2017-11-29 9:10PM","2017-11-30 5:58AM","513","12","1","527","N/A","N/A","N/A"
"2017-11-28 9:34PM","2017-11-29 5:58AM","478","26","1","504","N/A","N/A","N/A"
"2017-11-27 10:03PM","2017-11-28 6:50AM","501","25","0","527","N/A","N/A","N/A"
"2017-11-26 9:53PM","2017-11-27 7:44AM","562","26","3","591","N/A","N/A","N/A"
"2017-11-26 1:56PM","2017-11-26 3:23PM","78","9","1","87","N/A","N/A","N/A"
"2017-11-25 11:25PM","2017-11-26 8:40AM","525","30","1","555","N/A","N/A","N/A"
"2017-11-24 10:44PM","2017-11-25 9:17AM","600","33","2","633","N/A","N/A","N/A"
"2017-11-23 10:40PM","2017-11-24 7:59AM","529","30","1","559","N/A","N/A","N/A"
"2017-11-22 10:12PM","2017-11-23 6:36AM","446","58","3","504","N/A","N/A","N/A"
"2017-11-21 11:10PM","2017-11-22 7:12AM","417","65","4","482","N/A","N/A","N/A"
"2017-11-20 10:21PM","2017-11-21 7:56AM","551","24","2","575","N/A","N/A","N/A"
"2017-11-19 10:49PM","2017-11-20 7:37AM","500","27","3","528","N/A","N/A","N/A"
"2017-11-18 10:48PM","2017-11-19 8:52AM","570","34","3","604","N/A","N/A","N/A"
"2017-11-17 11:54PM","2017-11-18 6:04AM","349","14","1","369","N/A","N/A","N/A"
"2017-11-17 12:25AM","2017-11-17 8:33AM","445","43","2","488","N/A","N/A","N/A"
"2017-11-16 12:16AM","2017-11-16 8:22AM","448","38","1","486","N/A","N/A","N/A"
"2017-11-15 1:03AM","2017-11-15 7:45AM","363","38","2","401","N/A","N/A","N/A"
"2017-11-13 9:38PM","2017-11-14 7:00AM","527","35","1","562","N/A","N/A","N/A"
"2017-11-13 12:19AM","2017-11-13 7:43AM","416","28","1","444","N/A","N/A","N/A"
"2017-11-11 11:13PM","2017-11-12 7:25AM","461","31","3","492","N/A","N/A","N/A"
"2017-11-10 10:21PM","2017-11-11 7:44AM","521","42","3","563","N/A","N/A","N/A"
"2017-11-09 11:36PM","2017-11-10 4:43AM","294","13","1","307","N/A","N/A","N/A"
"2017-11-08 9:18PM","2017-11-09 6:20AM","497","45","3","542","N/A","N/A","N/A"
"2017-11-07 11:23PM","2017-11-08 5:51AM","369","18","2","387","N/A","N/A","N/A"
"2017-11-06 10:02PM","2017-11-07 6:52AM","488","42","3","530","N/A","N/A","N/A"
"2017-11-05 10:35PM","2017-11-06 6:00AM","391","54","3","445","N/A","N/A","N/A"
"2017-11-04 9:09PM","2017-11-05 4:57AM","448","20","2","468","N/A","N/A","N/A"
"2017-11-03 10:12PM","2017-11-04 7:53AM","535","44","4","581","N/A","N/A","N/A"
"2017-11-02 10:54PM","2017-11-03 7:29AM","475","39","2","514","N/A","N/A","N/A"
"2017-11-01 10:09PM","2017-11-02 7:14AM","516","29","3","545","N/A","N/A","N/A"

